_id,failedAttempts,oracleEquivalenceMap.2,oracleEquivalenceMap.3,oracleEquivalenceMap.4,oracleEquivalenceMap.8,oracleEquivalenceMap.5,oracleEquivalenceMap.6,oracleEquivalenceMap.7,oracleEquivalenceMap.1
68db4e81efaeec64e5eb7201,7,7,7,7,7,2,2,2,
68db4f98efaeec64e5eb7203,13,8,7,7,8,2,2,2,
68db5033efaeec64e5eb7205,6,5,4,3,2,,2,1,
68db5121efaeec64e5eb7206,5,9,7,6,6,1,3,2,
68db51d7efaeec64e5eb7207,0,16,14,11,15,6,8,7,6
68db54bbefaeec64e5eb7211,0,13,11,9,10,5,8,6,6
68db556fefaeec64e5eb7216,28,5,5,5,5,,,,
68db55e9efaeec64e5eb7218,12,6,5,3,5,4,5,4,
68db56d5efaeec64e5eb721b,20,4,4,3,3,,1,,
68db5801efaeec64e5eb721f,1,5,5,4,4,3,4,3,3
68db58bcefaeec64e5eb7220,13,2,2,1,1,,1,,
68db595eefaeec64e5eb7222,6,27,24,24,23,19,21,21,15
68db5d33efaeec64e5eb722e,5,7,7,6,9,1,2,1,1
68db5dd6efaeec64e5eb7230,14,5,5,5,5,,,,
68db5f02efaeec64e5eb7234,5,1,1,1,1,,,,
68db60c9efaeec64e5eb7239,7,6,5,5,6,3,3,3,
68db6122efaeec64e5eb723d,41,1,1,1,1,,,,
68db63a2efaeec64e5eb7242,17,6,6,6,7,3,2,3,3
68db6460efaeec64e5eb7244,4,8,6,4,5,1,5,2,
68db6681efaeec64e5eb7249,3,16,13,12,15,12,14,13,8
68db6731efaeec64e5eb724a,9,4,2,2,2,1,2,2,
68db6a35efaeec64e5eb724c,5,3,2,2,1,,1,1,
68db6d49efaeec64e5eb724f,4,4,4,3,3,1,2,1,1
68db6e0befaeec64e5eb7250,0,,,,,,,,
68db74d5efaeec64e5eb7259,22,1,1,1,1,,,,
68db7616efaeec64e5eb725c,7,9,7,7,8,2,3,3,1
68db78eeefaeec64e5eb7263,16,8,8,8,8,,,,
68db7ddbefaeec64e5eb7269,11,1,1,1,1,,,,
68db7f49efaeec64e5eb726c,2,12,10,5,9,5,8,6,3
68db83fcefaeec64e5eb7275,6,9,6,6,5,1,3,3,
68db85afefaeec64e5eb727b,2,2,2,2,2,,,,
68db8684efaeec64e5eb727d,8,7,4,4,5,4,5,5,
68db870fefaeec64e5eb727f,24,2,2,1,1,,1,,
68db8fe7efaeec64e5eb7292,4,26,23,17,25,18,19,19,8
68db9029efaeec64e5eb7293,1,7,3,5,4,2,3,4,
68db9064efaeec64e5eb7294,9,16,15,9,16,7,9,8,5
68db9561efaeec64e5eb7297,4,3,2,1,2,1,2,1,
68db9a1aefaeec64e5eb729d,12,4,3,2,3,2,3,2,
68db9a5defaeec64e5eb729e,0,10,7,4,6,3,6,4,2
68dba3b6efaeec64e5eb72a7,8,8,6,7,8,6,6,6,6
68dba451efaeec64e5eb72a9,27,1,1,1,1,,,,
68dba47aefaeec64e5eb72aa,12,7,4,4,5,4,5,5,
68dba5c5efaeec64e5eb72ac,1,5,2,2,4,2,3,3,
68dbab3fefaeec64e5eb72b5,29,8,7,7,9,1,1,1,
68dbab85efaeec64e5eb72b6,1,27,23,22,26,7,12,10,7
68dbab9befaeec64e5eb72b7,13,7,4,5,5,2,3,3,
68dbad63efaeec64e5eb72ba,13,2,2,2,2,,,,
68dbc513efaeec64e5eb72c1,22,6,6,6,6,1,,1,1
68dbc56befaeec64e5eb72c2,1,7,4,5,7,2,3,3,
68dbd2d6efaeec64e5eb72c7,3,7,5,4,5,2,3,3,2
68dbda74efaeec64e5eb72ca,18,2,2,1,2,1,1,1,
68dc07f9efaeec64e5eb72ce,15,,,,,,,,
68dc2c8cefaeec64e5eb72d2,5,3,3,3,4,2,2,2,1
68dc3916efaeec64e5eb72d6,2,4,2,2,3,1,2,2,
68dc3d78efaeec64e5eb72da,5,6,6,6,6,4,4,4,
68dc4103efaeec64e5eb72e3,14,2,2,2,2,,,,
68dc4872efaeec64e5eb72eb,6,18,18,11,12,2,8,2,1
68dc48c4efaeec64e5eb72ec,8,6,4,3,5,2,3,2,
68dc4b9cefaeec64e5eb72ed,9,6,6,4,5,1,2,1,
68dc4bb1efaeec64e5eb72ee,10,13,13,12,15,7,8,7,7
68dc4d6defaeec64e5eb72f6,15,2,2,2,2,,,,
68dc50eaefaeec64e5eb72ff,5,10,7,9,10,5,5,5,
68dc5201efaeec64e5eb7305,14,1,1,1,1,,,,
68dc5564efaeec64e5eb7312,4,3,3,3,3,,,,
68dc5571efaeec64e5eb7313,2,11,9,6,10,7,9,7,2
68dc5584efaeec64e5eb7315,3,10,8,8,8,1,2,2,
68dc56f8efaeec64e5eb731c,13,7,7,3,5,,4,,
68dc5842efaeec64e5eb7323,6,6,5,4,6,4,4,4,1
68dc5852efaeec64e5eb7324,11,10,4,7,8,6,8,6,
68dc58c9efaeec64e5eb7326,14,4,3,3,2,,1,1,
68dc58deefaeec64e5eb7328,20,16,16,15,15,5,7,5,4
68dc58e0efaeec64e5eb7329,3,17,16,14,16,10,14,9,6
68dc5b42efaeec64e5eb7332,13,3,3,3,3,,,,
68dc5c98efaeec64e5eb7335,15,2,2,2,2,,,,
68dc5d29efaeec64e5eb7336,9,4,4,3,3,,1,,
68dc5e67efaeec64e5eb733b,15,5,5,5,5,,,,
68dc5eebefaeec64e5eb733d,12,8,5,5,6,3,4,4,
68dc5fc6efaeec64e5eb7341,21,5,4,3,5,2,2,2,
68dc607befaeec64e5eb7346,24,4,4,2,3,2,3,2,
68dc61d9efaeec64e5eb734b,6,10,9,8,9,1,2,1,
68dc6213efaeec64e5eb734c,6,7,7,2,3,,5,,
68dc6297efaeec64e5eb734e,20,1,1,1,1,,,,
68dc6469efaeec64e5eb7354,2,4,3,3,4,3,3,3,
68dc64e3efaeec64e5eb7356,11,2,2,2,2,,,,
68dc6524efaeec64e5eb7357,5,7,4,5,5,1,2,3,
68dc6535efaeec64e5eb7358,6,14,14,11,11,,3,,
68dc67bfefaeec64e5eb7362,15,6,4,4,4,2,3,3,2
68dc6876efaeec64e5eb7366,18,6,5,5,4,,1,1,
68dc6967efaeec64e5eb7369,14,14,14,7,12,4,9,4,2
68dc6aecefaeec64e5eb736d,5,1,1,1,1,,,,
68dc6c98efaeec64e5eb736e,4,3,2,2,4,2,2,2,1
68dc6deeefaeec64e5eb7372,9,7,5,3,3,2,5,3,1
68dc7bb3efaeec64e5eb737a,14,3,3,3,3,1,1,1,
68dc7c42efaeec64e5eb737d,5,1,1,1,1,,,,
68dc7df3efaeec64e5eb7380,6,5,3,4,3,1,2,2,
68dc7f2befaeec64e5eb7384,30,32,31,28,26,22,27,21,20
68dc807befaeec64e5eb7386,5,2,2,2,2,1,1,1,
68dc8231efaeec64e5eb7388,13,6,5,5,4,1,2,2,
68dc8465efaeec64e5eb738a,7,6,5,4,6,4,5,4,3
68dc8530efaeec64e5eb738d,20,4,4,1,1,,3,,
68dc8625efaeec64e5eb7391,6,4,3,3,2,,1,1,
68dc87a3efaeec64e5eb7395,3,12,7,9,11,8,9,10,5
68dc8889efaeec64e5eb7396,5,1,1,1,1,,,,
68dc88daefaeec64e5eb7397,0,,,,,,,,
68dc8c67efaeec64e5eb739d,0,,,,,,,,
68dc8f49efaeec64e5eb73a9,11,6,5,5,6,1,1,1,3
68dc8faeefaeec64e5eb73ab,6,1,1,1,1,,,,
68dc918cefaeec64e5eb73ae,2,5,3,3,3,1,2,2,
68dc92f4efaeec64e5eb73b4,4,,,,,,,,
68dc92f7efaeec64e5eb73b5,6,6,6,6,6,,,,
68dc993fefaeec64e5eb73c0,2,10,7,9,6,2,3,5,2
68dc9ce8efaeec64e5eb73c8,2,16,13,4,9,7,13,8,
68dc9e0defaeec64e5eb73cd,4,8,5,5,5,2,4,3,
68dc9e10efaeec64e5eb73ce,6,4,4,4,4,2,2,2,
68dc9f5cefaeec64e5eb73d3,32,4,4,4,4,1,1,1,
68dc9f7aefaeec64e5eb73d5,3,6,6,6,6,4,4,4,
68dc9feaefaeec64e5eb73d6,8,6,5,3,5,3,4,3,1
68dca18defaeec64e5eb73da,4,9,6,3,6,3,6,4,
68dcab2fefaeec64e5eb73e5,19,6,6,3,4,2,4,2,2
68dcb27eefaeec64e5eb73f3,13,25,23,17,19,4,10,4,2
68dcb2d1efaeec64e5eb73f4,2,15,9,13,13,6,7,7,
68dcb322efaeec64e5eb73f6,2,9,7,5,7,2,4,3,1
68dcb3cbefaeec64e5eb73f8,16,5,5,5,5,3,3,3,
68dcb54aefaeec64e5eb73fb,5,14,10,9,12,8,10,8,
68dcb793efaeec64e5eb7407,10,2,2,2,2,,,,
68dcb7d3efaeec64e5eb7409,1,1,1,1,1,,,,
68dcb8d4efaeec64e5eb740a,11,1,1,1,1,,,,
68dcb8e2efaeec64e5eb740b,4,6,4,3,5,1,3,2,5
68dcbce7efaeec64e5eb7412,3,3,3,2,2,,1,,
68dcbd0cefaeec64e5eb7413,20,5,4,4,5,1,1,1,
68dcbdb7efaeec64e5eb7415,3,10,9,7,8,4,6,4,1
68dcbdeaefaeec64e5eb7417,11,3,3,3,3,2,2,2,
68dcbfd5efaeec64e5eb7419,4,5,2,3,3,2,3,3,
68dcbffaefaeec64e5eb741a,8,5,5,4,8,3,3,3,2
68dcc945efaeec64e5eb7420,6,12,12,6,8,2,6,2,
68dcd238efaeec64e5eb742b,6,2,2,2,2,,,,
68dcd421efaeec64e5eb7431,11,9,9,8,8,1,2,1,1
68dcd8aaefaeec64e5eb7439,4,8,7,6,5,2,4,3,
68dcdb40efaeec64e5eb743d,8,1,1,1,1,,,,
68dcdbc6efaeec64e5eb743e,5,4,3,2,1,,2,1,
68dce6c2efaeec64e5eb744a,7,17,15,12,12,9,13,10,1
68dce7e9efaeec64e5eb744c,6,16,12,10,12,9,12,10,6
68dce82fefaeec64e5eb744d,8,1,1,1,1,,,,
68dcee4defaeec64e5eb7455,1,2,2,1,1,,,,
68dcf2c3efaeec64e5eb745a,4,11,9,6,8,3,6,4,1
68dcf32befaeec64e5eb745c,9,2,2,2,2,,,,
68dcf44aefaeec64e5eb745f,4,4,4,4,4,1,1,1,1
68dcf5f7efaeec64e5eb7461,7,5,5,5,5,4,4,4,4
68dcf95eefaeec64e5eb7463,2,1,1,1,1,,,,
68dcf98eefaeec64e5eb7464,17,4,4,4,4,,,,
68dcff2aefaeec64e5eb746a,7,24,18,18,19,15,18,18,11
68dd0057efaeec64e5eb746d,11,7,5,4,8,4,4,4,
68dd0146efaeec64e5eb746e,0,1,1,1,1,,,,
68dd0432efaeec64e5eb7471,19,2,2,2,2,,,,
68dd077eefaeec64e5eb7477,4,26,23,21,23,7,9,8,
68dd0e02efaeec64e5eb7483,3,11,6,6,9,6,8,7,1
68dd1103efaeec64e5eb7485,1,6,5,4,5,2,3,3,1
68dd1373efaeec64e5eb7489,17,2,2,2,2,,,,
68dd182befaeec64e5eb748d,6,2,2,2,2,,,,
68dd191fefaeec64e5eb748f,4,1,1,1,1,,,,
68dd1dbfefaeec64e5eb7492,16,1,1,1,1,,,,
68dd6aedefaeec64e5eb7497,7,8,6,6,4,1,3,3,1
68dd84dbefaeec64e5eb749c,54,1,1,1,1,,,,
68dd8922efaeec64e5eb74a0,3,10,6,6,6,4,6,6,1
68dd8abdefaeec64e5eb74a1,8,26,25,22,23,4,7,5,
68dd96d2efaeec64e5eb74ac,8,6,5,6,5,2,2,3,3
68dd9843efaeec64e5eb74ad,3,10,8,8,8,1,2,2,
68dd986befaeec64e5eb74ae,8,5,5,4,4,,1,,
68dd9c73efaeec64e5eb74b9,6,6,5,4,3,,2,1,
68dd9ebdefaeec64e5eb74bd,3,15,12,9,14,4,8,6,
68dda004efaeec64e5eb74be,8,1,1,1,1,,,,
68dda164efaeec64e5eb74c1,15,6,5,5,6,1,1,1,
68dda4a7efaeec64e5eb74c5,9,3,3,2,2,,1,,
68ddaee5efaeec64e5eb74d8,15,7,6,5,5,1,3,2,
68ddaeefefaeec64e5eb74da,5,5,5,5,4,,,,1
68ddb267efaeec64e5eb74e0,8,4,4,4,4,2,2,2,1
68ddb74cefaeec64e5eb74e5,5,32,31,29,33,18,24,20,7
68ddbd50efaeec64e5eb74e7,18,1,1,1,1,,,,
68ddbe83efaeec64e5eb74e9,12,1,1,1,1,,,,
68ddbe87efaeec64e5eb74ea,22,1,1,1,1,,,,
68ddc547efaeec64e5eb74ed,1,7,5,4,5,1,3,2,1
68ddc828efaeec64e5eb74f0,63,1,1,1,1,,,,
68ddce5aefaeec64e5eb74f4,1,8,4,6,6,3,4,4,1
68ddd2c3efaeec64e5eb74fb,2,8,6,5,8,1,3,2,4
68ddd411efaeec64e5eb74fe,19,13,12,12,11,1,2,2,1
68ddd922efaeec64e5eb7503,12,7,7,4,7,4,4,4,
68ddda2aefaeec64e5eb7505,37,3,3,3,3,,,,
68dddad1efaeec64e5eb7507,8,3,3,1,2,1,2,1,
68dddc03efaeec64e5eb750b,21,1,1,1,1,,,,
68dddd82efaeec64e5eb750d,9,1,1,1,1,,,,
68dddf1aefaeec64e5eb7510,18,1,1,1,1,,,,
68dde124efaeec64e5eb7515,5,4,4,2,3,1,3,1,1
68dde127efaeec64e5eb7516,13,2,2,2,2,,,,
68dde302efaeec64e5eb7520,6,7,6,6,6,3,4,4,3
68dde322efaeec64e5eb7522,26,4,4,4,5,3,3,3,1
68dde3bcefaeec64e5eb7523,7,5,5,3,3,,2,,
68dde503efaeec64e5eb7527,10,7,4,4,4,2,4,3,
68dde521efaeec64e5eb7528,3,7,4,3,5,4,5,5,2
68dde5fcefaeec64e5eb752d,6,6,4,4,4,2,3,3,
68dde5feefaeec64e5eb752e,0,19,19,11,13,5,14,6,8
68dde697efaeec64e5eb7530,4,3,3,3,3,,,,
68ddeb92efaeec64e5eb753f,14,2,2,2,2,,,,
68ddeca3efaeec64e5eb7541,4,3,2,2,3,1,1,1,
68ddeca6efaeec64e5eb7542,5,1,1,1,1,,,,
68dded9fefaeec64e5eb7544,4,9,8,6,9,6,6,6,
68ddeda8efaeec64e5eb7545,3,12,12,11,11,9,10,9,4
68ddedc3efaeec64e5eb7546,3,7,5,5,5,1,2,2,
68ddf0c1efaeec64e5eb754a,7,2,2,2,2,1,1,1,
68ddf4f0efaeec64e5eb7551,7,2,2,2,2,1,1,1,
68ddf69a2c48416419f4a76a,5,7,5,5,5,2,3,3,1
68ddf9b92c48416419f4a779,4,5,4,4,3,,1,1,
68ddfcc12c48416419f4a783,0,11,8,7,8,3,7,5,5
68ddfda72c48416419f4a787,6,1,1,1,1,,,,
68ddfec02c48416419f4a78a,21,1,1,1,1,,,,
68ddff8f2c48416419f4a78f,8,5,3,3,3,1,2,2,
68de001e2c48416419f4a791,21,3,3,3,3,,,,
68de01092c48416419f4a794,8,6,6,4,4,,2,,
68de021e2c48416419f4a797,14,1,1,1,1,,,,
68de02f12c48416419f4a799,5,5,4,3,4,3,4,3,2
68de03c22c48416419f4a79b,9,1,1,1,1,,,,
68de04ef2c48416419f4a79e,11,5,3,3,3,2,3,3,1
68de09802c48416419f4a7a2,12,2,2,2,2,,,,
68de09ee2c48416419f4a7a3,9,5,4,4,3,,1,1,
68de0cd82c48416419f4a7a7,3,5,5,5,3,,,,
68de0cf92c48416419f4a7a8,3,6,5,3,4,1,3,1,
68de10572c48416419f4a7ae,8,10,10,9,9,1,2,1,
68de10a72c48416419f4a7b0,8,7,5,7,5,2,1,4,1
68de10bc2c48416419f4a7b1,3,6,4,5,3,,1,2,
68de14ec2c48416419f4a7b3,13,6,5,5,4,,1,1,
68de1e142c48416419f4a7bd,4,5,3,3,3,1,2,2,
68de22c42c48416419f4a7c1,3,4,3,3,2,,1,1,
68de29ec2c48416419f4a7c6,11,3,2,2,3,1,1,1,
68de2f022c48416419f4a7cd,0,1,1,1,1,,,,
68de32372c48416419f4a7d2,7,6,2,4,3,2,3,4,
68de35ec2c48416419f4a7d7,10,2,2,1,1,,1,,
68de36142c48416419f4a7d8,20,2,2,2,2,,,,
68de37792c48416419f4a7da,8,13,10,7,10,4,7,6,1
68de3db72c48416419f4a7e0,1,18,11,13,17,9,11,10,2
68de405e2c48416419f4a7e5,5,1,1,1,1,,,,
68de42e72c48416419f4a7e6,8,9,8,4,10,6,6,6,1
68de472c2c48416419f4a7f4,3,2,2,1,1,,1,,
68de47812c48416419f4a7f6,18,3,3,3,3,,,,
68de48b12c48416419f4a7fa,3,8,5,6,6,2,3,3,
68de48ee2c48416419f4a7fb,3,6,3,2,5,3,4,4,2
68de4f0b2c48416419f4a805,17,7,7,7,8,4,4,4,3
68de4f0e2c48416419f4a806,10,5,3,3,3,1,2,2,
68de504f2c48416419f4a808,5,1,1,1,1,,,,
68de518d2c48416419f4a80a,3,11,9,10,9,1,2,2,1
68de560d2c48416419f4a80f,13,6,3,3,2,1,3,3,
68de59a12c48416419f4a810,6,15,13,9,11,4,7,5,
68de62f02c48416419f4a816,6,4,4,4,5,2,2,2,2
68de63c42c48416419f4a817,15,,,,,,,,
68de65b82c48416419f4a818,0,8,4,6,7,5,6,6,2
68de667e2c48416419f4a81a,5,4,4,4,4,,,,
68de70ef2c48416419f4a823,6,2,2,2,2,,,,
68de7f872c48416419f4a828,25,6,6,5,5,4,5,4,4
68de85682c48416419f4a82a,7,5,5,5,5,1,,,
68debe142c48416419f4a82b,4,1,1,1,1,,,,
68ded2e42c48416419f4a82f,1,13,8,4,14,6,9,7,4
68dedb552c48416419f4a834,4,8,6,6,6,3,4,4,
68dedf492c48416419f4a838,18,8,8,6,7,2,4,2,3
68dee0112c48416419f4a83a,7,1,1,1,1,,,,
68dee0132c48416419f4a83b,8,6,5,3,5,3,4,3,
68dee2bc2c48416419f4a83d,4,1,1,1,,1,1,,
68dee5382c48416419f4a841,4,10,8,8,9,1,2,2,
68dee58d2c48416419f4a842,9,6,5,5,4,,1,1,
68dee6722c48416419f4a846,4,5,4,2,5,3,4,3,1
68deed462c48416419f4a84a,4,17,13,13,14,7,8,8,5
68def3c72c48416419f4a851,10,5,3,4,3,1,2,2,
68df016c2c48416419f4a859,4,13,13,11,11,8,10,8,5
68df14652c48416419f4a85a,11,,,,,,,,
68df1f8d2c48416419f4a861,7,10,7,5,9,5,7,6,2
68df20642c48416419f4a862,9,5,2,4,4,2,2,4,1
68df22692c48416419f4a864,17,2,2,2,2,,,,
68df32022c48416419f4a872,11,10,8,7,5,1,6,3,4
68df378f2c48416419f4a879,22,1,1,1,1,,,,
68df38762c48416419f4a87d,1,5,3,4,5,3,3,4,1
68df3a0b2c48416419f4a881,8,9,9,9,9,1,1,1,1
68df3f7e2c48416419f4a887,5,4,4,4,4,1,1,1,
68df43e22c48416419f4a88d,7,3,3,3,3,,,,
68df458e2c48416419f4a891,23,18,13,16,13,11,12,15,6
68df45db2c48416419f4a892,3,10,8,7,8,4,6,5,2
68df483f2c48416419f4a894,4,11,11,11,11,1,1,,2
68df4c8e2c48416419f4a89a,8,8,4,5,4,2,3,5,
68df50332c48416419f4a89e,8,7,5,6,5,,1,2,
68df50382c48416419f4a89f,5,12,9,7,10,6,7,7,
68df52c12c48416419f4a8a4,4,2,2,1,3,1,1,1,
68df5c622c48416419f4a8ab,2,11,8,5,5,2,6,4,2
68df5d062c48416419f4a8ac,2,14,14,12,14,9,12,9,10
68df5e9d2c48416419f4a8ad,7,8,8,7,8,3,3,3,
68df70212c48416419f4a8bf,6,2,2,1,1,,1,,
68df70e62c48416419f4a8c0,2,12,7,7,9,4,5,6,
68df7beb2c48416419f4a8c9,4,3,2,2,1,,1,1,
68df7c322c48416419f4a8ca,21,9,4,7,9,7,7,7,
68df7e602c48416419f4a8ce,4,4,3,3,4,2,2,2,
68df81842c48416419f4a8d2,3,3,3,1,1,,2,,
68df82792c48416419f4a8d3,15,3,3,2,2,,1,,
68df84f82c48416419f4a8d4,17,10,9,5,4,,5,1,
68df87bf2c48416419f4a8d6,3,10,3,8,6,3,4,7,
68df911f2c48416419f4a8dd,5,9,6,6,7,3,4,4,
68df926e2c48416419f4a8de,2,23,14,15,19,9,13,12,9
68dfa75a2c48416419f4a8ee,4,7,6,5,5,1,3,2,2
68dfa7802c48416419f4a8ef,0,6,4,4,4,2,3,3,1
68dfa79a2c48416419f4a8f0,3,4,2,2,2,1,2,2,
68dfb0f02c48416419f4a8f5,4,9,6,6,7,6,7,7,4
68dfbaea2c48416419f4a900,21,8,8,8,7,,1,1,1
68dfbaef2c48416419f4a901,8,1,1,1,1,,,,
68dfbdb52c48416419f4a904,3,5,3,3,4,2,3,3,
68dfca3e2c48416419f4a909,9,4,4,3,3,1,2,1,
68dfce352c48416419f4a90a,8,4,4,4,4,2,2,2,
68e03b392c48416419f4a917,2,6,5,3,5,3,4,3,
68e03c7b2c48416419f4a919,20,6,6,6,6,,,,
68e041392c48416419f4a91c,4,12,10,6,10,5,6,6,1
68e041482c48416419f4a91d,10,10,10,6,8,4,7,4,4
68e046592c48416419f4a926,12,3,3,3,3,1,1,1,
68e0469c2c48416419f4a927,5,5,5,5,5,1,1,1,1
68e04b862c48416419f4a92c,8,9,8,7,6,,2,1,
68e04d452c48416419f4a92e,27,14,9,9,12,7,8,8,2
68e04ec12c48416419f4a930,5,4,3,3,2,,1,1,
68e0500e2c48416419f4a933,15,4,4,4,4,1,1,1,
68e051fa2c48416419f4a935,3,8,5,5,5,2,4,4,1
68e052522c48416419f4a937,4,3,2,2,1,,1,1,
68e05f592c48416419f4a93f,7,1,1,1,1,,,,
68e065942c48416419f4a942,32,5,2,3,2,1,2,3,1
68e071852c48416419f4a94c,4,9,7,6,7,3,5,4,2
68e074042c48416419f4a94e,4,10,7,6,12,5,6,6,3
68e074132c48416419f4a94f,23,2,2,2,2,,,,
68e074602c48416419f4a951,3,4,2,2,2,1,2,2,
68e076df2c48416419f4a953,6,6,3,4,3,1,2,3,
68e07c482c48416419f4a960,4,7,4,5,4,2,3,4,
68e07fe82c48416419f4a96d,8,1,1,1,1,,,,
68e07ff82c48416419f4a96e,5,8,7,5,5,2,4,3,
68e080152c48416419f4a96f,9,3,3,2,3,1,1,1,
68e080d22c48416419f4a971,13,3,3,2,3,1,1,1,
68e083d42c48416419f4a979,3,3,3,3,3,,,,
68e084232c48416419f4a97b,6,5,4,4,3,,1,1,
68e084f92c48416419f4a97c,3,5,4,5,5,1,1,2,1
68e085ea2c48416419f4a97f,2,8,6,4,4,3,5,4,
68e086af2c48416419f4a981,1,11,9,9,9,6,7,7,4
68e087142c48416419f4a983,1,5,4,4,6,1,2,2,2
