_id,failedAttempts,clientEquivalenceMap.5,clientEquivalenceMap.1,clientExecuteTestEquivalenceMap.2,clientExecuteTestEquivalenceMap.5,clientEquivalenceMap.2,clientEquivalenceMap.4,clientEquivalenceMap.3,clientExecuteTestEquivalenceMap.3,clientExecuteTestEquivalenceMap.4,clientExecuteTestEquivalenceMap.1
68db1e22efaeec64e5eb7148,2,2,1,1,1,,,,,,
68db1ee6efaeec64e5eb714b,1,,1,,,,,1,,,
68db20e2efaeec64e5eb714f,4,,,1,1,,1,,,,1
68db21bbefaeec64e5eb7152,6,,,,1,,,,,,
68db2256efaeec64e5eb7153,4,1,,,,1,,,,,
68db24f1efaeec64e5eb715c,6,1,1,,1,,,1,,,
68db255fefaeec64e5eb715d,2,,2,1,1,1,1,,,1,
68db26bbefaeec64e5eb7160,7,,,,,1,,,,,
68db2756efaeec64e5eb7162,2,,2,,,1,,2,,,
68db2815efaeec64e5eb7167,15,1,,,,,,,,,1
68db2838efaeec64e5eb7169,7,,,,,1,,,,,
68db2839efaeec64e5eb716a,6,,,1,1,1,,,,,
68db2851efaeec64e5eb716c,4,,1,,,,,,,,
68db2888efaeec64e5eb716d,12,,1,1,1,,,,,,
68db2904efaeec64e5eb7170,0,,1,,,,,1,,,
68db2a22efaeec64e5eb7176,6,,1,,,,,,,,
68db2ca4efaeec64e5eb717b,2,2,1,1,1,,,,,,
68db2e89efaeec64e5eb717f,6,1,,,,2,,,,,
68db2f99efaeec64e5eb7181,3,1,,,,,,1,,,
68db31e5efaeec64e5eb7184,8,1,,2,2,2,,,,,
68db3440efaeec64e5eb718a,3,1,,,,,,1,,,
68db360cefaeec64e5eb718f,5,1,,1,1,2,,,,,1
68db3652efaeec64e5eb7191,3,,1,,1,,,,,,
68db36aaefaeec64e5eb7192,4,,,,,,,,,,
68db37c3efaeec64e5eb7195,47,,,1,1,1,,,,,
68db383defaeec64e5eb7197,13,,1,,,,,,,1,
68db3af0efaeec64e5eb71a0,4,,,1,1,1,,,,,
68db3b1fefaeec64e5eb71a1,4,,,1,1,,,,,,
68db3b5befaeec64e5eb71a2,8,,,1,1,,,,,,
68db3d22efaeec64e5eb71a5,0,,1,1,1,,,1,1,,
68db3e10efaeec64e5eb71ad,0,,1,,,,,1,,,
68db3e4defaeec64e5eb71ae,6,,,2,1,1,,,,,1
68db3fc8efaeec64e5eb71b3,2,,,,,1,,2,,,
68db4020efaeec64e5eb71b8,3,1,,,,,,,,,
68db404aefaeec64e5eb71b9,1,1,,,,,,,,,
68db407eefaeec64e5eb71ba,3,1,,1,1,,,,,,
68db4080efaeec64e5eb71bb,5,1,,,,,,1,,,
68db41cfefaeec64e5eb71c0,2,1,1,,,,,,,,
68db41edefaeec64e5eb71c2,8,,1,1,1,,,,,,
68db41f9efaeec64e5eb71c3,13,,,1,1,,,,,,
68db4269efaeec64e5eb71c7,14,1,,,,,,,,,
68db431defaeec64e5eb71cc,4,,,,,1,,,,,
68db43acefaeec64e5eb71d1,4,,1,1,1,,,,,,
68db43feefaeec64e5eb71d3,6,,1,1,1,,,1,,,
68db4435efaeec64e5eb71d4,1,1,,,,1,1,1,,,
68db44abefaeec64e5eb71d8,2,1,,,,,,1,,,
68db4568efaeec64e5eb71da,6,1,,,2,,,,1,,1
68db4583efaeec64e5eb71dd,4,1,,,,,,,,,
68db467defaeec64e5eb71e1,2,,,,,,,2,,,
68db4880efaeec64e5eb71eb,6,,,1,1,2,,,,,
68db4968efaeec64e5eb71ee,1,,1,1,1,3,,1,,,
68db4cbeefaeec64e5eb71f7,7,1,,1,1,1,,,,,
68db4d27efaeec64e5eb71fa,3,1,,1,1,,,,,,
68db4d73efaeec64e5eb71fb,1,,1,,,,,,,,
68db4e27efaeec64e5eb71fe,7,,,,,,,,,,
68db4ffeefaeec64e5eb7204,14,,1,1,1,,,,,,
68db5273efaeec64e5eb720b,4,,,,,,,,,,
68db52acefaeec64e5eb720d,1,,,,,2,,,,,
68db5674efaeec64e5eb7219,12,1,,,1,,,,,,
68db56c7efaeec64e5eb721a,11,,,,,,,1,,,
68db57c8efaeec64e5eb721e,1,1,,,,3,,1,,,
68db5af6efaeec64e5eb7223,3,1,1,,,,,,,,
68db5b67efaeec64e5eb7227,8,,,3,5,1,,1,3,,
68db5c4cefaeec64e5eb722b,3,,,,,1,,,,,
68db5c8defaeec64e5eb722c,6,,1,2,3,,,,,,
68db5de1efaeec64e5eb7231,2,1,1,,2,,,1,2,,
68db6103efaeec64e5eb723c,2,,1,1,2,,,1,,,
68db613aefaeec64e5eb723e,9,,1,,1,,,,,,
68db61fbefaeec64e5eb7240,10,,1,2,2,,,1,,,
68db6214efaeec64e5eb7241,17,,,,,,,,,,
68db6524efaeec64e5eb7246,1,,1,1,1,1,,1,1,,
68db662defaeec64e5eb7248,3,,,,,1,,,,,
68db6760efaeec64e5eb724b,4,,,,,,,,,,
68db6af3efaeec64e5eb724d,1,2,1,,1,,,2,1,,
68db753fefaeec64e5eb725a,5,,,,,,,,,,
68db762fefaeec64e5eb725e,8,,1,,,,,,,,
68db7701efaeec64e5eb7260,11,1,,1,1,,,,,,
68db7891efaeec64e5eb7261,1,1,1,1,3,,,,2,,
68db7b1eefaeec64e5eb7266,3,,,,,2,,,,,
68db7d27efaeec64e5eb7268,3,,,,,1,,,,,
68db8131efaeec64e5eb726f,14,,2,,,,,,,,
68db81f4efaeec64e5eb7271,2,1,,,,3,,1,,,
68db82fdefaeec64e5eb7274,10,,,1,1,1,,,,,
68db8436efaeec64e5eb7277,14,,,1,1,,,,,,
68db8594efaeec64e5eb7279,2,1,2,,,,,,,,
68db8723efaeec64e5eb7280,1,1,1,1,1,,,,,,
68db896aefaeec64e5eb7288,1,1,2,2,2,1,,1,1,,1
68db8b0fefaeec64e5eb728b,12,,,,,,,,,,
68db8c14efaeec64e5eb728d,4,,,1,1,,,,,,
68db8e2defaeec64e5eb7290,24,,2,2,2,,,,,,
68db8ed8efaeec64e5eb7291,2,,2,,,,,,,,
68db92d9efaeec64e5eb7295,17,,,,,,,,,,1
68db95aaefaeec64e5eb7299,0,,1,2,4,2,1,,2,2,1
68db9bceefaeec64e5eb72a0,0,2,2,3,3,1,,1,1,,1
68db9bf5efaeec64e5eb72a1,3,1,,,,,1,,,,
68dba2c6efaeec64e5eb72a5,4,,,,,,,,,,
68dba43fefaeec64e5eb72a8,1,,3,2,2,,,,1,,
68dba60fefaeec64e5eb72ae,11,,1,,,1,,,,,
68dba7e0efaeec64e5eb72b0,4,1,,,,1,,,,,
68dba9d7efaeec64e5eb72b3,2,1,,,,1,,1,,,
68dbc230efaeec64e5eb72c0,0,1,1,1,1,,,1,,,
68dbc842efaeec64e5eb72c4,13,1,,1,1,2,,,,,
68dbcfcaefaeec64e5eb72c6,2,1,1,,,,,1,,,
68dbeddbefaeec64e5eb72cd,27,1,,,,1,,,,,
68dc29f9efaeec64e5eb72d0,5,,,,1,,,1,,,
68dc3916efaeec64e5eb72d5,4,,,,,,,,,,
68dc3c4befaeec64e5eb72d9,16,,,,,1,,1,,,
68dc3e2defaeec64e5eb72dd,10,,,,1,,,1,,,
68dc3f24efaeec64e5eb72e0,3,,,1,1,,,,,,
68dc3f41efaeec64e5eb72e1,16,,,1,1,,,,,,
68dc4658efaeec64e5eb72e7,2,1,1,,,3,,1,,,
68dc46f9efaeec64e5eb72e9,3,1,1,1,1,2,,1,,,
68dc4713efaeec64e5eb72ea,2,,1,1,1,,,,,,
68dc4dbdefaeec64e5eb72f7,1,,,,,2,,1,,,
68dc4e78efaeec64e5eb72f8,1,,2,,,2,,1,,,
68dc4f03efaeec64e5eb72fa,7,,,,,,,,,,
68dc4f84efaeec64e5eb72fc,4,,,,,,,1,,,
68dc4fe9efaeec64e5eb72fd,0,1,1,,1,,,3,,,
68dc5001efaeec64e5eb72fe,3,1,1,2,2,,,,,,
68dc51d2efaeec64e5eb7302,10,1,,,,2,,,,,
68dc531aefaeec64e5eb7307,4,,,,,,,,,,
68dc536cefaeec64e5eb730a,1,2,2,,,1,,1,,,
68dc53f6efaeec64e5eb730c,1,1,,1,1,2,,1,,,
68dc5451efaeec64e5eb730d,4,,,,,2,,,,,
68dc55e7efaeec64e5eb7316,15,1,,1,1,,,,,,
68dc5617efaeec64e5eb7317,5,1,1,2,2,,,,,,
68dc564cefaeec64e5eb7318,3,1,,1,1,,,,,,
68dc5694efaeec64e5eb731b,12,,,,1,1,,,,,
68dc5733efaeec64e5eb731e,1,1,1,,,,,1,,,
68dc576aefaeec64e5eb731f,0,,,,,,1,1,,,
68dc57b3efaeec64e5eb7320,12,1,,2,2,,,,,,
68dc5825efaeec64e5eb7322,9,,,,,1,,,,,
68dc594eefaeec64e5eb732b,19,,1,1,1,,,,,,
68dc59fbefaeec64e5eb732d,3,1,,1,1,1,,1,,,
68dc5a19efaeec64e5eb732e,20,1,,2,2,1,,,,,
68dc5a86efaeec64e5eb732f,5,3,2,1,1,,1,,,,
68dc5abcefaeec64e5eb7330,19,,,,,,,,,,
68dc5d4eefaeec64e5eb7337,7,,1,1,1,3,,,,,
68dc5ee5efaeec64e5eb733c,2,,1,1,1,1,,,,,
68dc606cefaeec64e5eb7345,7,,1,1,1,1,,,,,
68dc60a0efaeec64e5eb7347,5,1,1,,,,,,,1,
68dc6104efaeec64e5eb7349,12,1,1,1,1,,2,1,,,
68dc6162efaeec64e5eb734a,17,1,,,,,,,,,
68dc6252efaeec64e5eb734d,6,,1,,,,,,,,
68dc6437efaeec64e5eb7351,1,1,2,4,4,1,,1,2,,
68dc6466efaeec64e5eb7353,4,1,1,1,,1,,,,,
68dc6556efaeec64e5eb7359,9,,1,1,2,,,1,2,,
68dc66a8efaeec64e5eb735c,10,3,,1,1,1,,2,,,
68dc6720efaeec64e5eb735e,3,,,,,,,,,,
68dc6743efaeec64e5eb735f,0,1,1,1,1,1,1,2,,,
68dc68d3efaeec64e5eb7367,14,,,,,,,,,,
68dc68d8efaeec64e5eb7368,7,,1,1,1,1,,,1,,
68dc6a4defaeec64e5eb736b,5,,,,,3,,,,,1
68dc6a57efaeec64e5eb736c,3,,1,1,1,,,,,,
68dc7ad2efaeec64e5eb7378,3,,1,1,1,,1,,,,
68dc7bd4efaeec64e5eb737b,4,,,,1,,,,,,
68dc7ca7efaeec64e5eb737e,7,,,2,2,,,2,1,,
68dc7db2efaeec64e5eb737f,3,1,,,,,,,,,
68dc7ecdefaeec64e5eb7383,6,1,,1,1,,,,,,
68dc8044efaeec64e5eb7385,2,1,1,2,2,,,,,,
68dc8549efaeec64e5eb738e,2,,1,,2,,,,1,,
68dc864befaeec64e5eb7392,33,,1,,,,,,,,
68dc88faefaeec64e5eb7399,11,2,,,,,,,,,
68dc8c1befaeec64e5eb739c,0,,,,,,,,,,
68dc8d53efaeec64e5eb73a2,1,,,,,,,4,,,
68dc8e63efaeec64e5eb73a4,8,,1,,,,,,,,
68dc8ebfefaeec64e5eb73a6,1,,1,,,,,1,,,
68dc8ec0efaeec64e5eb73a7,7,1,,1,1,,,,,,
68dc8f4cefaeec64e5eb73aa,2,,1,,,,,1,,,
68dc9238efaeec64e5eb73b0,4,,,1,2,2,,1,1,,1
68dc928eefaeec64e5eb73b3,21,1,,1,1,,,,,,
68dc956befaeec64e5eb73bb,2,,1,,1,,,,,,
68dc95dbefaeec64e5eb73bd,16,,,,1,,,,,,
68dc99edefaeec64e5eb73c1,3,1,,1,1,1,,,,,
68dc9a71efaeec64e5eb73c2,8,,,,,,,,,,
68dc9ccdefaeec64e5eb73c7,6,,,,,2,,2,,,
68dc9d76efaeec64e5eb73cb,4,1,,,,,,1,,,
68dc9ebeefaeec64e5eb73d0,3,,1,,,1,,,,,
68dc9f2befaeec64e5eb73d1,10,,,2,3,,,,,,
68dc9f78efaeec64e5eb73d4,14,,,2,2,,,,,,
68dca1a9efaeec64e5eb73dc,7,3,,,,,2,,,,1
68dca2cfefaeec64e5eb73df,9,,,2,2,2,,,,,
68dcada0efaeec64e5eb73e8,7,,,2,2,,,1,,,
68dcaf0aefaeec64e5eb73eb,7,,,,,,,,,,
68dcafbbefaeec64e5eb73ec,2,1,,1,1,,,1,,,1
68dcb173efaeec64e5eb73f1,4,1,,,,,,,,,
68dcb20defaeec64e5eb73f2,0,2,2,,,1,,3,,,
68dcb2f1efaeec64e5eb73f5,5,,,,,1,1,,,,
68dcb367efaeec64e5eb73f7,3,,,,,1,,,,,
68dcb5c9efaeec64e5eb73fe,3,1,,1,1,,,,,,
68dcb649efaeec64e5eb73ff,6,,,,1,,,1,,,
68dcb66befaeec64e5eb7400,9,,1,,,,,,,,
68dcb744efaeec64e5eb7403,6,1,1,3,4,2,,,,,
68dcb74defaeec64e5eb7404,15,,1,1,1,,,,1,,
68dcb752efaeec64e5eb7406,4,1,,2,4,1,,,,,1
68dcb91befaeec64e5eb740c,15,,,,,,1,,,,
68dcbdc0efaeec64e5eb7416,8,1,,1,1,,,,,,
68dcccedefaeec64e5eb7425,12,1,,,,,,,,,
68dccf83efaeec64e5eb7429,5,,,,,,,,,,
68dcd267efaeec64e5eb742c,4,1,1,1,1,,,1,,,
68dcd32aefaeec64e5eb7430,15,,,4,4,,,,1,1,1
68dcd48eefaeec64e5eb7432,12,,,,,,,,,,
68dcd509efaeec64e5eb7433,3,1,1,,,,,2,,,
68dcd811efaeec64e5eb7438,2,1,,,,,,2,,,
68dcda63efaeec64e5eb743b,5,,1,1,1,,,,,,
68dce292efaeec64e5eb7446,3,1,,,,,,,,,
68dce458efaeec64e5eb7449,2,1,1,,,1,,1,,,
68dce858efaeec64e5eb744e,16,1,,2,2,,,4,,,
68dce8e5efaeec64e5eb7450,0,1,1,1,1,1,,,,,
68dce957efaeec64e5eb7451,6,2,,2,2,,,1,,,
68dceab4efaeec64e5eb7453,8,,,,,,,,,,
68dcf289efaeec64e5eb7459,6,1,,,,,,,,,
68dcf496efaeec64e5eb7460,22,,,,,1,,,,,
68dcf820efaeec64e5eb7462,1,,1,,,,,3,,,
68dcff6eefaeec64e5eb746b,1,,1,4,4,,,,,,
68dd0259efaeec64e5eb7470,8,,,,,,,,,,
68dd0608efaeec64e5eb7476,4,,1,1,1,,1,1,,,
68dd0861efaeec64e5eb7479,29,1,,1,1,,,,,,
68dd0a5defaeec64e5eb747d,8,,1,1,1,,,,,,
68dd0afbefaeec64e5eb747e,5,1,1,1,1,,,,,,
68dd0afdefaeec64e5eb747f,1,2,1,1,3,,,,,,
68dd0ec4efaeec64e5eb7484,2,1,,,,,,,,,
68dd12baefaeec64e5eb7488,14,,,1,1,,,,,,
68dd1590efaeec64e5eb748a,5,,,,,,,,,,
68dd1c04efaeec64e5eb7491,2,,,,,,,,,,
68dd2a61efaeec64e5eb7494,2,,,1,1,,,,,,
68dd67b8efaeec64e5eb7496,5,2,,,1,,,,,,
68dd8670efaeec64e5eb749e,2,2,1,,,,,,,,
68dd868cefaeec64e5eb749f,1,1,1,,,,,,,,
68dd9071efaeec64e5eb74a5,10,,,,,1,,,,,
68dd956defaeec64e5eb74a8,2,,1,,,,1,1,,,
68dd9699efaeec64e5eb74ab,1,1,1,,,3,,2,,,
68dd98faefaeec64e5eb74af,0,,,4,5,,,,2,1,1
68dd9ac7efaeec64e5eb74b4,8,1,1,,,,,,,,
68dd9bbaefaeec64e5eb74b7,2,2,,,,1,,,,,
68dd9c41efaeec64e5eb74b8,43,1,,2,2,,,3,2,,
68dd9e6defaeec64e5eb74bc,13,,,1,1,2,,,,,
68dda1c3efaeec64e5eb74c2,10,,,1,1,,,,,,
68dda1f7efaeec64e5eb74c3,6,,,2,2,,,,,,
68dda7fdefaeec64e5eb74ca,34,1,1,1,2,,,,,,
68dda9c8efaeec64e5eb74ce,14,,1,1,1,,,,,,
68ddaabbefaeec64e5eb74cf,3,,1,,1,1,,,,,
68ddacc3efaeec64e5eb74d1,23,1,,,,,,,,,
68ddadc8efaeec64e5eb74d3,12,,,1,1,,,1,,,
68ddaeb1efaeec64e5eb74d6,5,,,,,,,3,,,
68ddb001efaeec64e5eb74dc,3,1,,,,1,,,,,
68ddb003efaeec64e5eb74dd,1,1,1,,,,,1,,,
68ddb3caefaeec64e5eb74e2,5,1,1,,,,,,,,
68ddb4d2efaeec64e5eb74e3,13,1,2,2,2,,1,1,,,
68ddbdb6efaeec64e5eb74e8,2,1,1,1,1,2,,,1,,
68ddbfc9efaeec64e5eb74ec,5,1,1,2,2,,,,,,
68ddcb60efaeec64e5eb74f3,2,,2,,,,,,,,
68ddd27aefaeec64e5eb74f9,5,1,1,1,1,,,1,,,
68ddd305efaeec64e5eb74fc,5,,1,1,1,3,1,,,,
68ddd3bfefaeec64e5eb74fd,6,,1,,,,,,,,
68ddd6ccefaeec64e5eb7500,2,3,1,1,1,,,,,,
68ddd7a8efaeec64e5eb7502,25,,,,1,,,,,,
68dddb89efaeec64e5eb7509,7,,,,,,,,,,
68dddb93efaeec64e5eb750a,3,,,,,,,,,,
68dddecaefaeec64e5eb750f,4,1,1,1,1,,,,,,
68dddf7defaeec64e5eb7511,16,,,,,,,,,,
68dde12fefaeec64e5eb7517,5,,1,,,,,,,,
68dde133efaeec64e5eb7518,7,1,,1,1,,,,,,
68dde2adefaeec64e5eb751f,7,,2,,,,1,1,,,
68dde322efaeec64e5eb7521,0,1,1,,,,,1,,,
68dde4f0efaeec64e5eb7526,5,1,1,1,1,,,,,,
68dde655efaeec64e5eb752f,4,,1,1,1,,,,,,
68dde76befaeec64e5eb7533,6,,,,1,2,,,,,
68dde795efaeec64e5eb7535,2,,,1,1,,,2,1,,
68dde7e1efaeec64e5eb7536,4,,1,,,,1,,,,
68dde82cefaeec64e5eb7538,4,,1,1,1,1,,,,,
68ddec19efaeec64e5eb7540,13,2,,1,1,1,,,,,
68ddecacefaeec64e5eb7543,8,,,,,,,,,,
68ddf17cefaeec64e5eb754c,6,1,1,,,,,,,,
68ddf2b0efaeec64e5eb754f,12,,,,,,,,,,
68ddf395efaeec64e5eb7550,7,1,1,1,1,,,,,,
68ddf7312c48416419f4a76d,4,1,,,,1,,,,,
68ddf74e2c48416419f4a76e,19,,,1,2,,,1,,,
68ddf77a2c48416419f4a76f,5,,,,,,,,,,
68ddf8412c48416419f4a772,2,2,,1,1,1,,1,,,
68ddf8a12c48416419f4a775,2,2,,1,1,,,3,,,
68ddf9382c48416419f4a777,10,,,,,2,,,,,
68ddfa852c48416419f4a77b,3,,,,,,,,,,
68ddfbe32c48416419f4a780,9,1,,,,,,1,,,
68ddfc392c48416419f4a781,3,,,,,,,,,,
68ddfc492c48416419f4a782,4,,2,2,3,,,1,,,1
68ddfe482c48416419f4a788,3,,1,,1,1,1,2,,,
68ddfe602c48416419f4a789,4,1,1,1,1,1,,,1,,
68ddfeed2c48416419f4a78c,1,,,,,,,,,,
68ddfff42c48416419f4a790,12,,,,,,,,,,1
68de01c62c48416419f4a796,2,1,1,,,,,1,,,
68de05b32c48416419f4a79f,13,,,,,,,,,,
68de0aa42c48416419f4a7a4,1,1,,,1,,,1,1,,
68de0ac52c48416419f4a7a5,16,1,1,1,1,1,,,,,
68de0d532c48416419f4a7a9,3,1,1,5,4,1,,,,,
68de0f8b2c48416419f4a7ad,1,,1,,,,,1,,,
68de18892c48416419f4a7b9,4,,1,1,1,,,,,,
68de1c9c2c48416419f4a7bc,0,,1,,,,,2,,,
68de20022c48416419f4a7bf,4,,1,,,1,,,,,
68de26fe2c48416419f4a7c4,18,,,,,,,,,,
68de2ed12c48416419f4a7ca,12,1,,,,,,,,,
68de30d92c48416419f4a7d0,1,2,1,,,1,1,2,,,
68de323a2c48416419f4a7d3,5,,1,1,1,,,,,,
68de34da2c48416419f4a7d5,1,1,1,,,,,1,,,
68de386f2c48416419f4a7db,1,1,,1,1,,,1,,,
68de3e222c48416419f4a7e1,0,1,1,,,1,,1,,,
68de3f022c48416419f4a7e3,0,1,1,1,1,1,,1,,,
68de432d2c48416419f4a7e7,0,,1,2,2,1,1,1,1,,
68de43a72c48416419f4a7ec,8,,1,,,,,,,,
68de43bd2c48416419f4a7ed,0,,1,1,1,,,1,,,
68de44702c48416419f4a7f0,6,1,,,,,,,,,
68de44ce2c48416419f4a7f2,0,,,,,1,,,,,
68de46fc2c48416419f4a7f3,16,,1,3,3,,,,3,,
68de48672c48416419f4a7f8,40,,,2,2,3,,,,,
68de48882c48416419f4a7f9,6,2,,,,,,,,,
68de494f2c48416419f4a7fd,4,,1,3,3,,,,,,1
68de4a362c48416419f4a800,3,,1,2,2,,,,,,
68de4a4c2c48416419f4a801,3,2,2,,,,,,,,
68de4b2d2c48416419f4a802,14,,,,1,2,,4,,,
68de4b9d2c48416419f4a803,4,1,,,,,,,,,
68de5ef12c48416419f4a814,6,,,1,1,1,,,,,
68de6d6b2c48416419f4a822,6,,,,,,,,,,
68de785a2c48416419f4a827,15,1,,1,1,,,,,,
68decb322c48416419f4a82e,0,1,2,1,2,2,,3,,,
68deda942c48416419f4a832,3,,,,,,,2,,,
68dedc802c48416419f4a836,5,,1,,,1,,,,,
68dedc9e2c48416419f4a837,6,1,,,,,,,,,
68dee2c52c48416419f4a83e,1,1,1,,1,,,1,1,,
68dee5b52c48416419f4a844,5,,1,1,1,,,,,,
68def10e2c48416419f4a84f,14,1,,,,,,,,,
68def1612c48416419f4a850,2,1,1,1,1,,,,1,,
68defeaa2c48416419f4a857,1,,1,2,2,,,1,,,
68df17c62c48416419f4a85d,14,2,,1,1,,,,,,
68df29652c48416419f4a86b,1,,,,,,2,,,,
68df2b432c48416419f4a86d,9,,,,,,,,,,
68df2efa2c48416419f4a870,3,1,1,,,,1,1,,,
68df34d92c48416419f4a875,5,1,,,,,,1,,,
68df36732c48416419f4a876,1,,1,1,1,,,1,,,
68df37ac2c48416419f4a87a,1,,2,,,1,,4,,,
68df37b72c48416419f4a87b,9,,,1,1,,,,,,
68df38b82c48416419f4a87f,5,1,,1,,1,,,,,
68df3a732c48416419f4a883,6,3,1,,,,,,,,
68df3c952c48416419f4a885,4,2,,1,1,,,,,,
68df438d2c48416419f4a88c,2,,,1,2,1,,1,,,
68df450a2c48416419f4a88e,2,,,,,1,,2,,,
68df45692c48416419f4a890,7,1,,1,1,,,1,1,,
68df4c6d2c48416419f4a899,2,1,2,,,1,,1,,,
68df4cba2c48416419f4a89b,11,1,,,,,,,,,
68df4e7c2c48416419f4a89d,4,1,1,1,1,,,,,,
68df59e02c48416419f4a8a9,2,1,,,,1,,1,,,
68df5a9c2c48416419f4a8aa,8,,1,1,1,,,,,,
68df604b2c48416419f4a8ae,5,,,,,,,,,,
68df690f2c48416419f4a8b4,5,2,,1,1,1,,1,,,
68df69b12c48416419f4a8b5,5,,1,3,4,,,,2,,1
68df6c382c48416419f4a8b9,8,,1,,1,,,1,,,
68df6c842c48416419f4a8ba,5,,,,,,,,,,
68df6d502c48416419f4a8bc,2,1,1,3,2,3,,,,,
68df6e3d2c48416419f4a8bd,3,,,,,,,,,,
68df74bf2c48416419f4a8c2,6,,1,,1,,,2,1,,1
68df783b2c48416419f4a8c6,7,,1,,,,,,,,
68df7b682c48416419f4a8c8,1,,1,,,,,1,,,
68df7d282c48416419f4a8cd,3,,1,1,1,1,,,,,
68df81172c48416419f4a8d0,4,,,,,,,,,,
68df8bef2c48416419f4a8d8,3,1,1,3,4,1,,,2,,
68df8f932c48416419f4a8dc,1,,1,,,2,1,1,,,
68df94132c48416419f4a8df,15,,1,1,1,,1,,,,
68df9fa02c48416419f4a8e4,3,1,1,,,,,1,,,
68dfa4022c48416419f4a8e8,8,,,1,1,,1,,,,
68dfa4de2c48416419f4a8ea,3,,1,,1,,,1,,,
68dfa5e72c48416419f4a8eb,2,,,1,1,1,,1,,,
68dfb1412c48416419f4a8f6,25,,,1,1,,,,,,
68dfb38a2c48416419f4a8f9,18,5,,1,1,,,,,,
68dfb7dd2c48416419f4a8fc,11,1,,,,,,,,,
68dfbab52c48416419f4a8ff,9,,,1,1,1,,,,,1
68dfbaf32c48416419f4a902,5,,1,1,1,,1,,,,
68dfbf862c48416419f4a906,7,,,,,1,,,,,
68e031b02c48416419f4a90e,0,2,1,4,4,,1,,2,,1
68e035ea2c48416419f4a911,0,,1,1,1,3,,2,,,1
68e036bd2c48416419f4a912,6,1,,1,1,,,1,,,
68e03a742c48416419f4a916,4,,,,,1,,1,,,
68e03c672c48416419f4a918,10,,1,,,,,,,,1
68e03dde2c48416419f4a91a,6,2,,,,3,1,,,,
68e043e52c48416419f4a920,9,,1,,,,,2,,,1
68e0445d2c48416419f4a922,2,1,1,1,1,,,1,,,
68e044cc2c48416419f4a923,3,1,,,1,,,,,,
68e045972c48416419f4a925,6,,1,,,4,,,,,
