_id,clientEquivalenceMap.5,clientEquivalenceMap.1,clientExecuteTestEquivalenceMap.2,clientExecuteTestEquivalenceMap.5,clientEquivalenceMap.2,clientEquivalenceMap.4,clientEquivalenceMap.3,clientExecuteTestEquivalenceMap.3,clientExecuteTestEquivalenceMap.4,clientExecuteTestEquivalenceMap.1
68dc3c4befaeec64e5eb72d9,,,,,1,,1,,,
68dc3e2defaeec64e5eb72dd,,,,1,,,1,,,
68dc3f24efaeec64e5eb72e0,,,1,1,,,,,,
68dc3f41efaeec64e5eb72e1,,,1,1,,,,,,
68dc4658efaeec64e5eb72e7,1,1,,,3,,1,,,
68dc46f9efaeec64e5eb72e9,1,1,1,1,2,,1,,,
68dc4713efaeec64e5eb72ea,,1,1,1,,,,,,
68dc4dbdefaeec64e5eb72f7,,,,,2,,1,,,
68dc4e78efaeec64e5eb72f8,,2,,,2,,1,,,
68dc4f03efaeec64e5eb72fa,,,,,,,,,,
68dc4f84efaeec64e5eb72fc,,,,,,,1,,,
68dc4fe9efaeec64e5eb72fd,1,1,,1,,,3,,,
68dc5001efaeec64e5eb72fe,1,1,2,2,,,,,,
68dc51d2efaeec64e5eb7302,1,,,,2,,,,,
68dc531aefaeec64e5eb7307,,,,,,,,,,
68dc536cefaeec64e5eb730a,2,2,,,1,,1,,,
68dc53f6efaeec64e5eb730c,1,,1,1,2,,1,,,
68dc5451efaeec64e5eb730d,,,,,2,,,,,
68dc55e7efaeec64e5eb7316,1,,1,1,,,,,,
68dc5617efaeec64e5eb7317,1,1,2,2,,,,,,
68dc564cefaeec64e5eb7318,1,,1,1,,,,,,
68dc5694efaeec64e5eb731b,,,,1,1,,,,,
68dc5733efaeec64e5eb731e,1,1,,,,,1,,,
68dc576aefaeec64e5eb731f,,,,,,1,1,,,
68dc57b3efaeec64e5eb7320,1,,2,2,,,,,,
68dc5825efaeec64e5eb7322,,,,,1,,,,,
68dc594eefaeec64e5eb732b,,1,1,1,,,,,,
68dc59fbefaeec64e5eb732d,1,,1,1,1,,1,,,
68dc5a19efaeec64e5eb732e,1,,2,2,1,,,,,
68dc5a86efaeec64e5eb732f,3,2,1,1,,1,,,,
68dc5abcefaeec64e5eb7330,,,,,,,,,,
68dc5d4eefaeec64e5eb7337,,1,1,1,3,,,,,
68dc5ee5efaeec64e5eb733c,,1,1,1,1,,,,,
68dc606cefaeec64e5eb7345,,1,1,1,1,,,,,
68dc60a0efaeec64e5eb7347,1,1,,,,,,,1,
68dc6104efaeec64e5eb7349,1,1,1,1,,2,1,,,
68dc6162efaeec64e5eb734a,1,,,,,,,,,
68dc6252efaeec64e5eb734d,,1,,,,,,,,
68dc6437efaeec64e5eb7351,1,2,4,4,1,,1,2,,
68dc6466efaeec64e5eb7353,1,1,1,,1,,,,,
68dc6556efaeec64e5eb7359,,1,1,2,,,1,2,,
68dc66a8efaeec64e5eb735c,3,,1,1,1,,2,,,
68dc6720efaeec64e5eb735e,,,,,,,,,,
68dc6743efaeec64e5eb735f,1,1,1,1,1,1,2,,,
68dc68d3efaeec64e5eb7367,,,,,,,,,,
68dc68d8efaeec64e5eb7368,,1,1,1,1,,,1,,
68dc6a4defaeec64e5eb736b,,,,,3,,,,,1
68dc6a57efaeec64e5eb736c,,1,1,1,,,,,,
68dc7ad2efaeec64e5eb7378,,1,1,1,,1,,,,
68dc7bd4efaeec64e5eb737b,,,,1,,,,,,
68dc7ca7efaeec64e5eb737e,,,2,2,,,2,1,,
68dc7db2efaeec64e5eb737f,1,,,,,,,,,
68dc7ecdefaeec64e5eb7383,1,,1,1,,,,,,
68dc8044efaeec64e5eb7385,1,1,2,2,,,,,,
68dc8549efaeec64e5eb738e,,1,,2,,,,1,,
68dc864befaeec64e5eb7392,,1,,,,,,,,
68dc88faefaeec64e5eb7399,2,,,,,,,,,
68dc8c1befaeec64e5eb739c,,,,,,,,,,
68dc8d53efaeec64e5eb73a2,,,,,,,4,,,
68dc8e63efaeec64e5eb73a4,,1,,,,,,,,
68dc8ebfefaeec64e5eb73a6,,1,,,,,1,,,
68dc8ec0efaeec64e5eb73a7,1,,1,1,,,,,,
68dc8f4cefaeec64e5eb73aa,,1,,,,,1,,,
68dc9238efaeec64e5eb73b0,,,1,2,2,,1,1,,1
68dc928eefaeec64e5eb73b3,1,,1,1,,,,,,
68dc956befaeec64e5eb73bb,,1,,1,,,,,,
68dc95dbefaeec64e5eb73bd,,,,1,,,,,,
68dc99edefaeec64e5eb73c1,1,,1,1,1,,,,,
68dc9a71efaeec64e5eb73c2,,,,,,,,,,
68dc9ccdefaeec64e5eb73c7,,,,,2,,2,,,
68dc9d76efaeec64e5eb73cb,1,,,,,,1,,,
68dc9ebeefaeec64e5eb73d0,,1,,,1,,,,,
68dc9f2befaeec64e5eb73d1,,,2,3,,,,,,
68dc9f78efaeec64e5eb73d4,,,2,2,,,,,,
68dca1a9efaeec64e5eb73dc,3,,,,,2,,,,1
68dca2cfefaeec64e5eb73df,,,2,2,2,,,,,
68dcada0efaeec64e5eb73e8,,,2,2,,,1,,,
68dcaf0aefaeec64e5eb73eb,,,,,,,,,,
68dcafbbefaeec64e5eb73ec,1,,1,1,,,1,,,1
68dcb173efaeec64e5eb73f1,1,,,,,,,,,
68dcb20defaeec64e5eb73f2,2,2,,,1,,3,,,
68dcb2f1efaeec64e5eb73f5,,,,,1,1,,,,
68dcb367efaeec64e5eb73f7,,,,,1,,,,,
68dcb5c9efaeec64e5eb73fe,1,,1,1,,,,,,
68dcb649efaeec64e5eb73ff,,,,1,,,1,,,
68dcb66befaeec64e5eb7400,,1,,,,,,,,
68dcb744efaeec64e5eb7403,1,1,3,4,2,,,,,
68dcb74defaeec64e5eb7404,,1,1,1,,,,1,,
68dcb752efaeec64e5eb7406,1,,2,4,1,,,,,1
68dcb91befaeec64e5eb740c,,,,,,1,,,,
68dcbdc0efaeec64e5eb7416,1,,1,1,,,,,,
68dcccedefaeec64e5eb7425,1,,,,,,,,,
68dccf83efaeec64e5eb7429,,,,,,,,,,
68dcd267efaeec64e5eb742c,1,1,1,1,,,1,,,
68dcd32aefaeec64e5eb7430,,,4,4,,,,1,1,1
68dcd48eefaeec64e5eb7432,,,,,,,,,,
68dcd509efaeec64e5eb7433,1,1,,,,,2,,,
68dcd6e6efaeec64e5eb7435,1,,1,1,,,1,1,,1
68dcd811efaeec64e5eb7438,1,,,,,,2,,,
68dcda63efaeec64e5eb743b,,1,1,1,,,,,,
68dce292efaeec64e5eb7446,1,,,,,,,,,
68dce458efaeec64e5eb7449,1,1,,,1,,1,,,
68dce858efaeec64e5eb744e,1,,2,2,,,4,,,
68dce8e5efaeec64e5eb7450,1,1,1,1,1,,,,,
68dce957efaeec64e5eb7451,2,,2,2,,,1,,,
68dceab4efaeec64e5eb7453,,,,,,,,,,
68dcf289efaeec64e5eb7459,1,,,,,,,,,
68dcf496efaeec64e5eb7460,,,,,1,,,,,
68dcf820efaeec64e5eb7462,,1,,,,,3,,,
68dcff6eefaeec64e5eb746b,,1,4,4,,,,,,
68dd0259efaeec64e5eb7470,,,,,,,,,,
68dd0608efaeec64e5eb7476,,1,1,1,,1,1,,,
68dd0861efaeec64e5eb7479,1,,1,1,,,,,,
68dd0a5defaeec64e5eb747d,,1,1,1,,,,,,
68dd0afbefaeec64e5eb747e,1,1,1,1,,,,,,
68dd0afdefaeec64e5eb747f,2,1,1,3,,,,,,
68dd0ec4efaeec64e5eb7484,1,,,,,,,,,
68dd12baefaeec64e5eb7488,,,1,1,,,,,,
68dd1590efaeec64e5eb748a,,,,,,,,,,
68dd1c04efaeec64e5eb7491,,,,,,,,,,
68dd2a61efaeec64e5eb7494,,,1,1,,,,,,
68dd67b8efaeec64e5eb7496,2,,,1,,,,,,
68dd8670efaeec64e5eb749e,2,1,,,,,,,,
68dd868cefaeec64e5eb749f,1,1,,,,,,,,
68dd9071efaeec64e5eb74a5,,,,,1,,,,,
68dd956defaeec64e5eb74a8,,1,,,,1,1,,,
68dd9699efaeec64e5eb74ab,1,1,,,3,,2,,,
68dd98faefaeec64e5eb74af,,,4,5,,,,2,1,1
68dd9ac7efaeec64e5eb74b4,1,1,,,,,,,,
68dd9bbaefaeec64e5eb74b7,2,,,,1,,,,,
68dd9c41efaeec64e5eb74b8,1,,2,2,,,3,2,,
68dd9e6defaeec64e5eb74bc,,,1,1,2,,,,,
68dda1c3efaeec64e5eb74c2,,,1,1,,,,,,
68dda1f7efaeec64e5eb74c3,,,2,2,,,,,,
68dda7fdefaeec64e5eb74ca,1,1,1,2,,,,,,
68dda9c8efaeec64e5eb74ce,,1,1,1,,,,,,
68ddaabbefaeec64e5eb74cf,,1,,1,1,,,,,
68ddacc3efaeec64e5eb74d1,1,,,,,,,,,
68ddadc8efaeec64e5eb74d3,,,1,1,,,1,,,
68ddaeb1efaeec64e5eb74d6,,,,,,,3,,,
68ddb001efaeec64e5eb74dc,1,,,,1,,,,,
68ddb003efaeec64e5eb74dd,1,1,,,,,1,,,
68ddb3caefaeec64e5eb74e2,1,1,,,,,,,,
68ddb4d2efaeec64e5eb74e3,1,2,2,2,,1,1,,,
68ddbdb6efaeec64e5eb74e8,1,1,1,1,2,,,1,,
68ddbfc9efaeec64e5eb74ec,1,1,2,2,,,,,,
68ddcb60efaeec64e5eb74f3,,2,,,,,,,,
68ddd27aefaeec64e5eb74f9,1,1,1,1,,,1,,,
68ddd305efaeec64e5eb74fc,,1,1,1,3,1,,,,
68ddd3bfefaeec64e5eb74fd,,1,,,,,,,,
68ddd6ccefaeec64e5eb7500,3,1,1,1,,,,,,
68ddd7a8efaeec64e5eb7502,,,,1,,,,,,
68dddb89efaeec64e5eb7509,,,,,,,,,,
68dddb93efaeec64e5eb750a,,,,,,,,,,
68dddecaefaeec64e5eb750f,1,1,1,1,,,,,,
68dddf7defaeec64e5eb7511,,,,,,,,,,
68dde12fefaeec64e5eb7517,,1,,,,,,,,
68dde133efaeec64e5eb7518,1,,1,1,,,,,,
68dde2adefaeec64e5eb751f,,2,,,,1,1,,,
68dde322efaeec64e5eb7521,1,1,,,,,1,,,
68dde4f0efaeec64e5eb7526,1,1,1,1,,,,,,
68dde655efaeec64e5eb752f,,1,1,1,,,,,,
68dde76befaeec64e5eb7533,,,,1,2,,,,,
68dde795efaeec64e5eb7535,,,1,1,,,2,1,,
68dde7e1efaeec64e5eb7536,,1,,,,1,,,,
68dde82cefaeec64e5eb7538,,1,1,1,1,,,,,
68ddec19efaeec64e5eb7540,2,,1,1,1,,,,,
68ddecacefaeec64e5eb7543,,,,,,,,,,
68ddf17cefaeec64e5eb754c,1,1,,,,,,,,
68ddf2b0efaeec64e5eb754f,,,,,,,,,,
68ddf395efaeec64e5eb7550,1,1,1,1,,,,,,
68ddf7312c48416419f4a76d,1,,,,1,,,,,
68ddf74e2c48416419f4a76e,,,1,2,,,1,,,
68ddf77a2c48416419f4a76f,,,,,,,,,,
68ddf8412c48416419f4a772,2,,1,1,1,,1,,,
68ddf8a12c48416419f4a775,2,,1,1,,,3,,,
68ddf9382c48416419f4a777,,,,,2,,,,,
68ddfa852c48416419f4a77b,,,,,,,,,,
68ddfbe32c48416419f4a780,1,,,,,,1,,,
68ddfc392c48416419f4a781,,,,,,,,,,
68ddfc492c48416419f4a782,,2,2,3,,,1,,,1
68ddfe482c48416419f4a788,,1,,1,1,1,2,,,
68ddfe602c48416419f4a789,1,1,1,1,1,,,1,,
68ddfeed2c48416419f4a78c,,,,,,,,,,
68ddfff42c48416419f4a790,,,,,,,,,,1
68de01c62c48416419f4a796,1,1,,,,,1,,,
68de05b32c48416419f4a79f,,,,,,,,,,
68de0aa42c48416419f4a7a4,1,,,1,,,1,1,,
68de0ac52c48416419f4a7a5,1,1,1,1,1,,,,,
68de0d532c48416419f4a7a9,1,1,5,4,1,,,,,
68de0f8b2c48416419f4a7ad,,1,,,,,1,,,
68de18892c48416419f4a7b9,,1,1,1,,,,,,
68de1c9c2c48416419f4a7bc,,1,,,,,2,,,
68de20022c48416419f4a7bf,,1,,,1,,,,,
68de26fe2c48416419f4a7c4,,,,,,,,,,
68de2ed12c48416419f4a7ca,1,,,,,,,,,
68de30d92c48416419f4a7d0,2,1,,,1,1,2,,,
68de323a2c48416419f4a7d3,,1,1,1,,,,,,
68de34da2c48416419f4a7d5,1,1,,,,,1,,,
68de386f2c48416419f4a7db,1,,1,1,,,1,,,
68de3e222c48416419f4a7e1,1,1,,,1,,1,,,
68de3f022c48416419f4a7e3,1,1,1,1,1,,1,,,
68de432d2c48416419f4a7e7,,1,2,2,1,1,1,1,,
68de43a72c48416419f4a7ec,,1,,,,,,,,
68de43bd2c48416419f4a7ed,,1,1,1,,,1,,,
68de44702c48416419f4a7f0,1,,,,,,,,,
68de44ce2c48416419f4a7f2,,,,,1,,,,,
68de46fc2c48416419f4a7f3,,1,3,3,,,,3,,
68de48672c48416419f4a7f8,,,2,2,3,,,,,
68de48882c48416419f4a7f9,2,,,,,,,,,
68de494f2c48416419f4a7fd,,1,3,3,,,,,,1
68de4a362c48416419f4a800,,1,2,2,,,,,,
68de4a4c2c48416419f4a801,2,2,,,,,,,,
68de4b2d2c48416419f4a802,,,,1,2,,4,,,
68de4b9d2c48416419f4a803,1,,,,,,,,,
68de5ef12c48416419f4a814,,,1,1,1,,,,,
68de6d6b2c48416419f4a822,,,,,,,,,,
68de785a2c48416419f4a827,1,,1,1,,,,,,
68decb322c48416419f4a82e,1,2,1,2,2,,3,,,
68deda942c48416419f4a832,,,,,,,2,,,
68dedc802c48416419f4a836,,1,,,1,,,,,
68dedc9e2c48416419f4a837,1,,,,,,,,,
68dee2c52c48416419f4a83e,1,1,,1,,,1,1,,
68dee5b52c48416419f4a844,,1,1,1,,,,,,
68def10e2c48416419f4a84f,1,,,,,,,,,
68def1612c48416419f4a850,1,1,1,1,,,,1,,
68defeaa2c48416419f4a857,,1,2,2,,,1,,,
68df17c62c48416419f4a85d,2,,1,1,,,,,,
68df29652c48416419f4a86b,,,,,,2,,,,
68df2b432c48416419f4a86d,,,,,,,,,,
68df2efa2c48416419f4a870,1,1,,,,1,1,,,
68df34d92c48416419f4a875,1,,,,,,1,,,
68df36732c48416419f4a876,,1,1,1,,,1,,,
68df37ac2c48416419f4a87a,,2,,,1,,4,,,
68df37b72c48416419f4a87b,,,1,1,,,,,,
68df38b82c48416419f4a87f,1,,1,,1,,,,,
68df3a732c48416419f4a883,3,1,,,,,,,,
68df3c952c48416419f4a885,2,,1,1,,,,,,
68df438d2c48416419f4a88c,,,1,2,1,,1,,,
68df450a2c48416419f4a88e,,,,,1,,2,,,
68df45692c48416419f4a890,1,,1,1,,,1,1,,
68df4c6d2c48416419f4a899,1,2,,,1,,1,,,
68df4cba2c48416419f4a89b,1,,,,,,,,,
68df4e7c2c48416419f4a89d,1,1,1,1,,,,,,
68df59e02c48416419f4a8a9,1,,,,1,,1,,,
68df5a9c2c48416419f4a8aa,,1,1,1,,,,,,
68df604b2c48416419f4a8ae,,,,,,,,,,
68df690f2c48416419f4a8b4,2,,1,1,1,,1,,,
68df69b12c48416419f4a8b5,,1,3,4,,,,2,,1
68df6c382c48416419f4a8b9,,1,,1,,,1,,,
68df6c842c48416419f4a8ba,,,,,,,,,,
68df6d502c48416419f4a8bc,1,1,3,2,3,,,,,
68df6e3d2c48416419f4a8bd,,,,,,,,,,
68df74bf2c48416419f4a8c2,,1,,1,,,2,1,,1
68df783b2c48416419f4a8c6,,1,,,,,,,,
68df7b682c48416419f4a8c8,,1,,,,,1,,,
68df7d282c48416419f4a8cd,,1,1,1,1,,,,,
68df81172c48416419f4a8d0,,,,,,,,,,
68df8bef2c48416419f4a8d8,1,1,3,4,1,,,2,,
68df8f932c48416419f4a8dc,,1,,,2,1,1,,,
68df94132c48416419f4a8df,,1,1,1,,1,,,,
68df9fa02c48416419f4a8e4,1,1,,,,,1,,,
68dfa4022c48416419f4a8e8,,,1,1,,1,,,,
68dfa4de2c48416419f4a8ea,,1,,1,,,1,,,
68dfa5e72c48416419f4a8eb,,,1,1,1,,1,,,
68dfb1412c48416419f4a8f6,,,1,1,,,,,,
68dfb38a2c48416419f4a8f9,5,,1,1,,,,,,
68dfb7dd2c48416419f4a8fc,1,,,,,,,,,
68dfbab52c48416419f4a8ff,,,1,1,1,,,,,1
68dfbaf32c48416419f4a902,,1,1,1,,1,,,,
68dfbf862c48416419f4a906,,,,,1,,,,,
68e031b02c48416419f4a90e,2,1,4,4,,1,,2,,1
68e035ea2c48416419f4a911,,1,1,1,3,,2,,,1
68e036bd2c48416419f4a912,1,,1,1,,,1,,,
68e03a742c48416419f4a916,,,,,1,,1,,,
68e03c672c48416419f4a918,,1,,,,,,,,1
68e03dde2c48416419f4a91a,2,,,,3,1,,,,
68e043e52c48416419f4a920,,1,,,,,2,,,1
68e0445d2c48416419f4a922,1,1,1,1,,,1,,,
68e044cc2c48416419f4a923,1,,,1,,,,,,
68e045972c48416419f4a925,,1,,,4,,,,,
68e04aab2c48416419f4a929,1,,1,2,,,,,,
68e04aad2c48416419f4a92a,,,,,,1,,,,
68e05b8a2c48416419f4a93d,,,,,,,,,,
68e05e762c48416419f4a93e,1,1,1,1,1,1,1,,,
68e061612c48416419f4a940,1,,,,,,1,,,
68e065e72c48416419f4a943,,1,,,,,,,,
68e0701a2c48416419f4a94a,1,1,2,2,,,,,,
68e0702f2c48416419f4a94b,1,1,2,2,1,1,1,,,
68e0719b2c48416419f4a94d,1,1,,,,,2,,,
68e077312c48416419f4a955,,1,1,1,,,,,,
68e07b1f2c48416419f4a95c,,1,2,2,,,1,1,,
68e07b9f2c48416419f4a95e,,1,1,1,,,1,,,
68e07ca02c48416419f4a961,,,,,,,,,,
68e07d242c48416419f4a963,,,,,,,,,,
68e07df32c48416419f4a966,,,,,,1,1,,,
68e07dfe2c48416419f4a967,,,,,2,,,,,
68e07e532c48416419f4a969,,1,2,2,,2,1,,,
68e07f5a2c48416419f4a96c,1,,2,2,,,1,1,,
68e080f42c48416419f4a972,2,,3,3,1,,1,,,
68e082222c48416419f4a974,2,1,,,1,1,1,,,
68e082a82c48416419f4a976,,,1,1,1,,,,,
68e083aa2c48416419f4a978,2,1,1,1,,,1,,,
68e086452c48416419f4a980,1,,,,,,,,,
68e086e72c48416419f4a982,2,1,2,3,,1,2,,1,
68e087ba2c48416419f4a984,3,1,,,,,,,,
68e090582c48416419f4a98e,,1,1,1,,,,,,1
68e091f72c48416419f4a991,3,,2,2,,,,,,
68e093bf2c48416419f4a995,1,1,,,1,1,3,,,
68e095db2c48416419f4a99b,,1,1,1,,,,,,
68e0963c2c48416419f4a99c,,1,2,2,,,,1,,
